Freq.	V(vin)/I(V2)
Step Information: X=10n  (Run: 1/11)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=19.9526n  (Run: 4/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=25.1189n  (Run: 5/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=31.6228n  (Run: 6/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=39.8107n  (Run: 7/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=50.1187n  (Run: 8/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
3.16978638492223e+004	(9.35206604270688e+001dB,-1.79773116960450e+002°)
3.99052462993777e+004	(9.35407765290524e+001dB,-1.79631174514192e+002°)
5.02377286301917e+004	(9.35772762009920e+001dB,-1.79509612490185e+002°)
6.32455532033677e+004	(9.36344322677747e+001dB,-1.79453860766482e+002°)
7.96214341106996e+004	(9.37154609112602e+001dB,-1.79534947585825e+002°)
1.00237446725455e+005	(9.38199736576790e+001dB,-1.79853013282494e+002°)
1.26191468896039e+005	(9.39406436449199e+001dB,1.79473113425641e+002°)
1.58865646944857e+005	(9.40612159037867e+001dB,1.78334789894466e+002°)
2.00000000000000e+005	(9.41582616089615e+001dB,1.76669124373931e+002°)
Step Information: X=63.0957n  (Run: 9/11)
2.00000000000000e+001	(9.44615758684095e+001dB,1.55567854960518e+002°)
2.51785082358833e+001	(9.41489274151163e+001dB,1.60083085121511e+002°)
3.16978638492223e+001	(9.39393437991581e+001dB,1.63904437011620e+002°)
3.99052462993776e+001	(9.38016765086828e+001dB,1.67070002712366e+002°)
5.02377286301916e+001	(9.37125025247867e+001dB,1.69654195801081e+002°)
6.32455532033676e+001	(9.36552760357447e+001dB,1.71743316210819e+002°)
7.96214341106995e+001	(9.36187748663415e+001dB,1.73421461673782e+002°)
1.00237446725454e+002	(9.35955846271276e+001dB,1.74763906117479e+002°)
1.26191468896039e+002	(9.35808883159384e+001dB,1.75834916572556e+002°)
1.58865646944856e+002	(9.35715896963605e+001dB,1.76687855546576e+002°)
2.00000000000000e+002	(9.35657119400401e+001dB,1.77366286144821e+002°)
2.51785082358834e+002	(9.35619980218791e+001dB,1.77905397717745e+002°)
3.16978638492223e+002	(9.35596501693681e+001dB,1.78333424178019e+002°)
3.99052462993776e+002	(9.35581618637147e+001dB,1.78672917689380e+002°)
5.02377286301916e+002	(9.35572102158980e+001dB,1.78941835404018e+002°)
6.32455532033676e+002	(9.35565872356743e+001dB,1.79154440050973e+002°)
7.96214341106995e+002	(9.35561557588426e+001dB,1.79322032487715e+002°)
1.00237446725455e+003	(9.35558204968937e+001dB,1.79453540758325e+002°)
1.26191468896039e+003	(9.35555078355915e+001dB,1.79555992282928e+002°)
1.58865646944856e+003	(9.35551501748839e+001dB,1.79634895298069e+002°)
2.00000000000000e+003	(9.35546719198694e+001dB,1.79694554722515e+002°)
2.51785082358834e+003	(9.35539750328509e+001dB,1.79738349626097e+002°)
3.16978638492223e+003	(9.35529230536372e+001dB,1.79769006882459e+002°)
3.99052462993776e+003	(9.35513248057655e+001dB,1.79788918457406e+002°)
5.02377286301917e+003	(9.35489243049818e+001dB,1.79800562720798e+002°)
6.32455532033677e+003	(9.35454136262467e+001dB,1.79807084029231e+002°)
7.96214341106995e+003	(9.35405006358862e+001dB,1.79813013455010e+002°)
1.00237446725455e+004	(9.35340741403774e+001dB,1.79824904261505e+002°)
1.26191468896039e+004	(9.35264853443080e+001dB,1.79851302009954e+002°)
1.58865646944857e+004	(9.35188711611670e+001dB,1.79901280241611e+002°)
2.00000000000000e+004	(9.35133267115876e+001dB,1.79981398460698e+002°)
2.51785082358834e+004	(9.35127749691020e+001dB,-1.79907658465924e+002°)
