frequency;MAG;PHA
100.0;-31.8918032786886;78.0983606557377
126.63801734674034;-29.8953125;79.953125
160.3718743751331;-27.8516666666667;80.8
203.09176209047348;-25.8000000000001;81.3129770992366
257.19138090593447;-23.7125925925925;81.3185185185185
325.7020655659783;-21.6022556390977;80.8345864661654
412.4626382901352;-19.4959770114943;79.2126436781609
522.3345074266844;-17.2207100591716;78.0
661.4740641230146;-14.9;75.1358024691358
837.6776400682916;-12.3641646489104;71.2493946731235
1060.8183551394482;-9.5;65.0479452054795
1343.3993325989002;-6.19999999999999;54.0809523809524
1701.2542798525892;-2.70000000000002;27.8158508158508
2000.0;-1.60000000000001;-2.19090909090909
2154.4346900318824;-1.89999999999999;-15.6803455723542
2728.3333764867693;-4.93856502242155;-47.7062780269058
3455.1072945922183;-8.40000000000004;-62.9311926605505
4375.479375074185;-11.4;-71.1315789473685
5541.020330009492;-14.0;-75.968058968059
7017.038286703822;-16.4121827411167;-78.7258883248731
8886.238162743408;-18.6999999999999;-81.8651399491094
11253.355826007646;-20.8521197007481;-83.6733167082294
14251.026703029964;-22.9786600496278;-84.3706467661692
18047.217668271704;-25.0341836734695;-81.1994884910487
22854.63864134993;-27.0991477272729;-74.7643678160919
28942.661247167518;-29.132558139535;-35.6338983050848
36652.41237079626;-31.1463126843658;-4.79230769230769
46415.888336127726;-33.0851963746224;10.2834645669291
